Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Location,Price
105236.9143,3.476687875,5.518604768,2.112021278,37636.71288,"California, San Francisco",1722795.37
96548.58751,29.20138031,8.914724608,5.727154172,41971.35231,"California, San Diego",1760014.691
98320.57344,16.02230251,5.370680836,4.091949233,29733.05107,"Florida, Orlando",384166.0971
101701.6277,18.81140109,5.01328461,2.172892606,16609.51561,"California, Los Angeles",977653.0037
45923.57214,7.861683699,6.210770569,3.369999972,26587.50839,"California, San Diego",345266.8868
68677.25828,15.02144447,4.284202854,2.307397847,41451.75715,"New York, Manhattan",1727111.571
49269.52476,13.44533527,8.892472323,3.571777757,26514.37082,"Texas, Houston",601058.5191
109048.2741,3.171979418,6.942167782,4.679705369,37861.23174,"New York, Brooklyn",1445573.5
89863.85015,4.078650253,6.784760458,3.879559632,30288.54727,"Texas, Austin",907538.8901
66471.84199,25.28670307,7.278981399,3.534888699,19648.925,"New York, Manhattan",1687311.27
45084.66802,7.954778614,6.485118239,2.476628182,41846.02032,"Florida, Orlando",1166467.73
64878.58574,6.653789873,4.160317585,2.979756183,13368.53816,"Florida, Orlando",851483.2716
66014.66576,15.64243209,7.061556444,2.400573151,30995.61131,"California, San Diego",850580.1343
98368.49427,23.29366681,7.580869385,5.229994927,18355.64137,"Texas, Austin",855776.3121
91004.59771,2.796449039,6.083745303,2.540959312,12682.62514,"California, Los Angeles",1640584.669
110977.0194,17.72742967,7.78647786,4.381493466,30117.35748,"New York, Brooklyn",1508896.518
77777.19401,4.457102842,5.135006497,3.370961654,29982.48624,"Florida, Miami",842663.9825
49567.53968,2.057370474,5.106382955,2.903913539,38276.03607,"Illinois, Chicago",1133353.751
97059.58298,2.529574613,4.807084938,4.557873758,39790.02772,"Illinois, Chicago",429460.7554
100862.8039,25.19075914,5.859973799,3.828009238,39111.65955,"New York, Brooklyn",1706750.456
84902.17581,4.421202025,8.235060177,3.600581869,26382.34932,"Florida, Miami",752123.1761
101677.3744,2.309389568,8.139560311,4.37140802,35267.59149,"New York, Brooklyn",1811682.741
79503.64771,13.69909673,5.91412104,3.965070514,33077.80971,"Texas, Houston",1314554.378
81818.62635,25.47581069,6.94559368,3.213936834,26862.47024,"Texas, Austin",1265294.276
74203.28147,8.609842918,7.604081582,4.236245151,33888.50777,"Illinois, Chicago",576621.8619
42033.53014,13.22966591,5.206033873,4.677994306,47889.91507,"Florida, Miami",418210.1113
48631.31416,2.157753444,4.840705429,2.106772634,17715.74975,"California, Los Angeles",1239448.188
42514.33485,14.02327691,8.860479966,3.863486916,46230.88383,"California, San Diego",1095581.51
90912.8329,17.75077934,7.087786566,2.230733138,12138.22056,"New York, Manhattan",503461.1571
65148.47849,17.55630456,8.907078609,2.745621656,22335.56852,"Illinois, Chicago",1720499.128
80685.65529,10.64037407,5.688779936,4.242034936,21525.80994,"Florida, Orlando",1009308.203
112605.3179,10.15046224,7.5151585,5.464755661,35054.60432,"California, San Francisco",742778.2607
59943.37833,4.092084949,5.113018183,5.531222717,15248.99807,"New York, Brooklyn",1640062.558
72830.63384,11.6371513,5.306000856,2.279776041,45293.90447,"California, Los Angeles",1852209.067
100444.0911,3.885345397,6.559510606,3.676420345,43142.05634,"New York, Brooklyn",820136.5954
58303.85324,23.2312824,5.598090628,4.332025932,36082.63279,"California, San Francisco",1619114.805
46158.39279,29.02195463,4.838107819,2.588279618,28336.55327,"Texas, Houston",1409283.417
63180.11623,29.13215924,5.31440351,5.061728867,47318.24169,"California, San Diego",1982537.232
52897.70298,26.08706188,4.178741972,4.976941034,43229.86219,"Illinois, Chicago",646787.6026
114375.8122,18.42297233,7.522118107,5.613364055,29972.60592,"Florida, Orlando",1933154.291
104649.6304,21.32510522,6.460583285,2.033944048,38074.93418,"New York, Brooklyn",835962.4964
90672.30052,9.270968278,4.471215332,2.866736976,32677.19809,"Florida, Miami",1000322.307
109716.8472,19.29234219,4.858469966,5.308746857,33517.68954,"New York, Brooklyn",910003.884
104293.7662,14.21383693,4.512672691,4.682320203,23239.04278,"Florida, Miami",756366.1851
54925.60471,14.97850285,7.062964041,5.577559415,28483.38418,"California, San Diego",1478478.388
111404.7199,22.97552025,4.471051818,2.228718618,13124.85723,"New York, Manhattan",1301547.045
83147.37935,9.175632312,7.771411665,4.387855863,24293.94767,"Illinois, Chicago",819676.3077
104595.2124,10.22314874,4.102554597,4.2761863,37833.14061,"New York, Manhattan",524761.1761
111687.304,27.81461194,5.24687894,2.142697665,48128.64122,"New York, Manhattan",839538.5841
65440.278,2.630504551,8.453333379,4.054088308,48522.56451,"Illinois, Chicago",948093.2299
48804.15396,15.08339465,7.592656591,4.438081245,32228.91476,"Illinois, Chicago",947110.8533
58234.813,27.47122321,4.364841665,2.765172697,34264.89007,"California, San Diego",907341.2074
74168.62309,18.70052723,8.105630522,3.093318332,17428.84742,"Florida, Orlando",382828.2606
105441.1813,16.84580515,6.465175608,4.561389385,37812.32432,"New York, Brooklyn",1088856.283
108858.4467,8.242581198,8.233915136,3.87320379,12826.35171,"California, San Diego",1721553.765
40556.17044,10.95498918,7.003698872,5.43205463,21387.42743,"California, San Francisco",606622.6962
80859.78421,25.70940406,7.40916516,3.369527064,36734.53389,"Texas, Austin",547617.4838
73392.88025,17.21732582,8.967507802,3.066638634,22412.40526,"Texas, Houston",1102146.794
57768.62484,15.92752362,5.16167773,5.939463761,11993.87496,"Illinois, Chicago",930025.1207
49589.22939,3.887811693,7.119727874,5.644543081,43274.81637,"New York, Brooklyn",1254177.089
67009.21371,1.464816537,6.30160695,2.11597098,22413.20029,"Florida, Orlando",1910026.326
115432.7763,28.94687047,4.197259765,5.082914461,12524.20899,"California, Los Angeles",1593506.626
65856.23456,11.93259885,4.072353208,2.441339095,12991.52658,"Florida, Orlando",1467998.86
81503.24974,18.4931788,4.596142889,2.109940779,20070.35195,"Texas, Houston",1007092.805
96241.51671,3.311737122,7.245458703,3.094782064,17120.63789,"California, San Francisco",788511.7218
69090.36819,20.81031429,6.83581544,3.077383516,40972.00471,"California, Los Angeles",1218448.976
117742.5666,28.04443455,6.767147806,5.277275049,22867.36187,"New York, Manhattan",1805253.997
116995.7836,17.69429234,4.159283813,4.842668984,42187.8314,"New York, Manhattan",1790462.268
60142.58367,4.657344349,6.346514982,5.926437709,16953.83991,"Illinois, Chicago",1057375.413
79779.88047,17.8699243,8.623114089,4.846051601,29715.16718,"New York, Manhattan",718574.6005
64070.26479,23.22406918,5.987959347,3.673022213,37521.48534,"Florida, Miami",683085.5654
62787.23955,12.78607956,7.124612349,4.795710644,36079.63415,"New York, Brooklyn",357780.3085
42950.95579,26.51529469,7.899093378,5.997836269,34045.1764,"Florida, Miami",1732529.219
88765.14672,19.81180565,7.919626396,4.84056753,46992.86408,"Illinois, Chicago",750224.6575
80214.32186,27.07821863,6.596400412,5.046725424,19141.00591,"California, San Diego",910298.5397
44118.3001,19.08165403,8.289759727,5.753460061,29748.76818,"Texas, Houston",1675667.44
62291.71714,4.807351188,5.956890467,2.454605045,45359.702,"California, Los Angeles",504040.888
112661.2709,9.981059622,8.443466074,4.819137174,13115.75062,"California, Los Angeles",1084097.934
59164.95125,6.852053499,5.201135832,5.403223832,12235.53073,"New York, Manhattan",507980.3459
51591.58977,27.35596843,5.401082035,5.817514401,19332.0915,"New York, Brooklyn",1051142.568
79156.22082,23.05160195,4.265603121,2.843877159,35320.84878,"Texas, Austin",380137.2752
118852.0363,20.6155527,7.977909183,4.015716031,20395.18506,"Florida, Orlando",1179958.804
59364.42172,9.728023269,6.085276181,4.722219391,17609.59535,"California, Los Angeles",1652706.522
93770.84379,6.337298389,5.14558307,2.989870918,28352.09261,"Texas, Houston",1449704.347
100929.5692,22.93708155,5.158951388,4.401891453,34543.92275,"Texas, Houston",1165587.316
59011.00352,14.75058043,8.506999706,3.03031513,19942.30828,"Florida, Miami",1708889.811
98257.30789,7.547897012,8.169583002,3.333828082,22027.64747,"Florida, Miami",687239.5574
69422.65062,18.88203737,6.767654427,3.766074786,34542.37219,"Illinois, Chicago",1712353.684
90584.46645,2.169681712,7.080554002,4.116760395,47829.53688,"California, San Francisco",769817.9153
90682.37686,10.45893737,6.371627853,3.797463487,36989.6691,"Texas, Austin",916226.78
82861.97473,14.58815284,5.958332714,3.972782079,41316.16574,"New York, Manhattan",518331.3428
47223.1816,5.290791689,8.577384406,3.194355025,24672.40379,"Texas, Houston",472983.0858
106824.1996,29.55497985,4.628063518,2.635860376,20890.17438,"California, Los Angeles",1884589.582
65662.4052,7.063823573,6.092233949,2.189399909,28170.70973,"Florida, Orlando",622963.0202
54921.48083,4.780240771,5.72280954,2.78391489,42285.31315,"Florida, Orlando",866603.4636
43262.01132,6.902511343,6.490753601,4.327774566,28251.98567,"Florida, Miami",1199557.888
87271.43546,23.30277286,6.288159373,5.144461791,43869.01635,"Florida, Miami",891374.1254
94205.14895,13.33966412,6.594447658,2.67699039,49550.87923,"California, San Diego",1779226.582
41327.02631,17.39706225,4.699594886,2.434221431,12881.06663,"Texas, Austin",1831215.098
80967.44466,1.609265553,6.565707508,4.997161442,11816.40624,"Illinois, Chicago",854183.7776
58119.66202,1.998507949,5.212094069,3.220633322,15983.58812,"New York, Manhattan",456447.0835
91613.82323,13.92894094,4.921656745,5.805997757,25374.78703,"New York, Brooklyn",657268.9978
53949.31432,24.68300205,4.324171094,4.857271882,15241.68837,"Texas, Houston",1106467.965
95275.01905,26.67192748,7.813262794,3.307024189,44826.5791,"New York, Brooklyn",790417.7718
70938.8277,3.51449046,6.137209604,3.158170991,10925.85004,"California, San Diego",1070902.804
114938.3991,16.61252996,7.133218417,4.094793545,22631.70865,"New York, Manhattan",1589795.95
51001.67553,27.4836609,7.637966717,2.316578673,17387.78518,"Florida, Orlando",1015085.337
67285.30808,12.25120988,7.396583327,2.470706051,47261.57321,"California, Los Angeles",634895.6756
49077.8817,25.05740911,6.352503595,2.703431525,36779.2402,"California, San Diego",908544.989
113975.4895,4.877173978,5.939492645,5.098894373,46481.21026,"Illinois, Chicago",1563068.071
110187.1483,28.1264402,5.879799548,4.055429437,48893.14841,"New York, Manhattan",1020905.604
60635.33022,22.79127621,7.200243985,2.042268491,29883.92975,"Florida, Miami",724214.3501
92798.72368,28.29869739,6.473971775,4.69406611,19372.76432,"Florida, Orlando",1026599.787
105377.776,20.62189977,8.24566124,3.694760715,17749.15145,"New York, Brooklyn",1073171.369
84416.06493,11.53871403,8.373509922,4.04340946,18916.75447,"New York, Manhattan",803841.2481
82372.04627,28.207254,4.85280189,2.856464974,38343.7323,"California, San Diego",1992664.652
59348.18327,8.991436513,4.681168258,4.207128914,11617.82912,"Illinois, Chicago",1604964.232
47448.22142,10.63300314,7.15200463,5.916612959,12054.44292,"California, San Francisco",1477173.478
111777.2606,21.32344412,5.50612874,2.293778764,34325.7177,"Texas, Houston",1753273.874
112033.4446,23.19417269,4.092853594,3.135669599,35682.28587,"New York, Manhattan",1432912.633
90648.11658,27.95270103,8.443213347,2.971990371,36610.51697,"California, Los Angeles",1644666.583
67122.38328,6.939269863,5.134503836,2.994197243,24875.22018,"California, San Francisco",1001293.596
67936.76597,24.14194302,8.646403258,3.51482543,42237.79555,"New York, Manhattan",1150632.009
98076.45431,22.41783555,7.587172254,5.272439139,31344.98351,"California, San Francisco",379893.8516
111768.8208,2.850042131,7.81326745,5.65143476,14218.6252,"California, San Diego",777098.8654
110966.9139,12.2294711,5.007307479,2.80886035,41883.97228,"California, Los Angeles",925621.0957
102390.0437,9.200198255,5.170972128,4.171799752,48122.71145,"Texas, Austin",1363299.383
91362.53169,9.830222306,6.606338769,4.547595889,12401.45252,"California, San Francisco",1089159.184
46731.1972,29.50545951,4.860499263,4.087309897,25654.05355,"Texas, Houston",1333325.046
52930.29713,19.64054499,5.527158463,3.736305577,29500.64179,"Illinois, Chicago",1512656.469
111884.3351,21.81260858,5.60731239,2.767902023,15858.8304,"Texas, Houston",372621.735
88514.32477,29.32191148,4.798149666,3.952877437,44708.35791,"California, Los Angeles",739072.1699
40735.76413,11.93885169,5.025914167,3.604859311,21365.9858,"New York, Manhattan",590536.5833
48117.72343,24.25336489,7.94275921,5.18225345,41320.3416,"California, Los Angeles",618673.7026
93080.14153,13.60139794,4.835979273,5.054417437,36839.77928,"New York, Brooklyn",1155313.173
40404.92671,26.21647648,4.142286959,2.535994725,33921.8329,"Texas, Austin",1557963.92
52864.64411,6.239068698,7.146774713,2.35407621,17685.71395,"Illinois, Chicago",763720.9577
83898.70315,28.48289913,8.879915597,5.632615773,18828.14082,"Florida, Orlando",1701563.705
95351.61582,7.344379544,5.656069073,4.142033556,11893.93619,"Florida, Orlando",1817176.079
92156.90076,10.4603947,4.593278516,5.431203749,19628.49719,"California, San Diego",895907.5824
57941.54476,22.92957479,6.851936627,2.232604482,23817.74438,"New York, Brooklyn",1458306.116
96974.33771,12.41889911,8.531771055,4.106062466,43325.81215,"Florida, Miami",498983.7999
58979.927,18.63812993,7.920308899,4.157706058,24655.70667,"Florida, Orlando",1564848.085
66031.97585,13.89263153,7.112579342,5.44280813,40184.87131,"Florida, Miami",580540.5883
99719.31241,22.52872818,5.575282483,2.390439993,27577.69125,"Texas, Houston",1468606.866
91970.63192,7.621606319,6.709400866,2.961782255,41394.73248,"Illinois, Chicago",1017230.006
107937.8728,2.69528163,4.456224207,3.626153256,49050.86402,"Florida, Miami",1878375.747
92609.03138,9.697952527,7.394727121,5.463365902,19593.66232,"Florida, Miami",1089582.989
85464.68827,14.75495128,7.625480094,5.75553326,44493.66448,"California, San Diego",352534.7897
47493.98143,5.872581514,8.825158115,5.970898478,34872.96345,"Texas, Austin",1117137.362
69417.26424,11.2891214,5.301986794,5.836773946,42691.77046,"Texas, Austin",1652347.865
61216.18941,12.59950753,4.092282095,2.023767023,36063.43609,"New York, Manhattan",1400043.363
59519.17147,2.664363467,6.728042322,2.190833366,26957.98029,"Florida, Miami",1942735.834
117840.8444,17.9159102,7.533952522,2.590427277,19122.99758,"New York, Manhattan",1733563.233
71447.81797,26.64595941,7.952037379,3.395448387,12801.40901,"California, San Francisco",1195137.827
111363.7244,5.400544476,4.968694665,5.319672124,31420.73458,"New York, Manhattan",651084.9615
90491.09008,18.33643239,5.308764345,5.570624781,49613.04378,"California, San Francisco",306416.8707
103584.9043,20.27743694,6.562954626,2.747337625,39521.6722,"Illinois, Chicago",1966854.075
80210.96745,13.16070573,5.65300405,4.478656606,23093.82166,"Texas, Austin",1895143.487
86152.31077,21.33183003,8.302557433,5.66944794,43088.192,"Illinois, Chicago",766044.7899
79401.41551,12.91121476,6.368800769,3.854926944,40759.36001,"New York, Manhattan",1384966.837
55619.43902,15.63448135,7.997893221,2.414174288,21265.43173,"Florida, Orlando",1539707.257
97796.16922,1.213238292,6.903098802,3.8312546,10572.29959,"Florida, Miami",1282622.884
62461.789,21.05988331,7.865450708,3.503179609,14726.50554,"New York, Manhattan",1733034.847
41945.27731,20.17893769,5.663364933,4.310631984,45092.24761,"New York, Brooklyn",432301.9023
91637.78367,2.113625442,8.15708311,3.754634738,43462.52141,"Florida, Orlando",1824039.858
54168.85435,11.67925311,5.372861578,2.069383707,21808.36004,"New York, Manhattan",966432.319
115236.6867,29.39192338,6.73049404,5.975990934,21407.81705,"California, San Francisco",1117173.037
116314.2862,13.20136031,5.070035566,4.174160951,41714.59948,"California, Los Angeles",1056047.206
113189.1512,15.55641675,6.377632608,3.894523022,47509.4988,"Florida, Orlando",1203186.579
69612.69602,27.38797459,5.590876048,5.818469486,41165.49027,"California, Los Angeles",1316886.402
41236.52932,21.8005944,5.333517153,2.62344147,34223.14708,"California, San Francisco",1507583.836
114265.485,17.8800338,8.83492509,2.75695041,19706.85401,"California, San Francisco",1192398.576
74254.73187,24.13633576,4.800370527,5.232058996,31029.91656,"New York, Brooklyn",1464114.535
117332.3855,26.06662173,7.936629187,3.04332432,19340.47434,"New York, Manhattan",875105.6541
117089.5982,14.24975408,8.920824797,5.196908425,42320.4568,"Illinois, Chicago",1892357.479
108240.7564,14.77814258,4.099507419,3.086133932,25478.44318,"Texas, Austin",409702.7337
63555.91137,12.19547713,7.49513707,2.132750521,43347.88868,"New York, Manhattan",1227419.035
70807.81829,29.03447806,5.264559028,4.068058896,25264.36872,"Florida, Miami",448573.4992
108090.9337,21.21782137,4.202439122,2.786745737,42965.97621,"Florida, Miami",1052703.961
65353.76041,3.41346892,6.014447895,5.031385172,23332.71261,"New York, Brooklyn",737890.008
53559.41973,26.02582908,8.676089051,4.564798533,27605.30818,"California, Los Angeles",1892735.864
84544.101,14.93623828,4.058825472,5.694410672,34619.53677,"California, Los Angeles",322228.1569
114892.3819,2.993863286,6.93942846,5.131953429,12811.50456,"Florida, Orlando",965046.1729
95682.38373,16.9418004,6.506982393,2.723103819,47928.28247,"Illinois, Chicago",1629472.675
85604.89361,13.09776409,8.366920822,5.200632947,32944.23144,"Illinois, Chicago",620384.4015
47774.1195,26.45473274,4.420008573,4.566948179,30312.80059,"Texas, Austin",1686499.948
89200.57814,6.915843505,7.407630149,4.675806567,43575.75884,"Florida, Miami",1761532.649
119204.308,24.96747368,7.400548492,5.329051544,44630.5092,"Illinois, Chicago",1503605.099
51206.72122,17.17297204,7.345400084,4.295296277,30890.41618,"Texas, Houston",655417.6101
81466.37219,2.583698793,8.711672475,3.864014057,47090.49303,"New York, Manhattan",762465.7162
110189.8458,29.18351374,8.115437645,4.546564141,12589.51064,"Illinois, Chicago",583789.0388
99261.48942,15.86584208,4.209863631,3.191829716,14529.03169,"Texas, Houston",612908.3532
95761.25928,9.435428773,6.355414254,2.730388524,33871.5292,"Florida, Orlando",362036.904
96198.72672,14.61279842,5.989765281,4.466351352,24162.63447,"Texas, Houston",1757435.638
68759.2921,25.87787572,5.550736105,2.935393476,28569.00665,"Texas, Austin",1198453.889
63487.34754,9.842190607,6.256683626,2.319660437,23123.16872,"Illinois, Chicago",857190.6806
104748.8924,6.587615498,5.920970925,2.002216738,26189.01246,"New York, Manhattan",792280.8933
104809.0716,4.743066161,6.161669499,4.433277606,42905.85389,"Florida, Miami",1225983.704
109365.7855,9.637922553,8.896309328,3.448595134,33739.04799,"California, San Diego",855364.197
113059.2442,23.62139452,4.443164874,5.009243883,49893.78197,"Florida, Orlando",1768320.558
80907.39191,14.67716459,8.611154349,3.500705593,41475.16791,"Texas, Houston",658627.6396
80121.30357,7.596966507,6.401183567,3.944013793,20946.65016,"Texas, Austin",1799913.045
103863.6143,5.819364989,7.118711227,3.628339891,20573.80471,"Florida, Miami",1428957.17
91997.11446,10.64915482,8.150914833,4.602299164,23435.9308,"California, San Diego",1926269.675
96157.35018,28.25780681,5.802315146,3.424556648,43730.37923,"New York, Manhattan",325682.3108
103663.4136,10.94777467,6.15210954,5.8550706,11091.50603,"Texas, Houston",400462.4617
111200.4273,29.6555982,6.047592401,5.744587946,19207.25115,"Illinois, Chicago",1151520.81
67039.61255,15.07168322,5.873655113,5.392111611,46196.73681,"Illinois, Chicago",1851044.011
70046.63621,6.19575363,8.627646608,5.681201082,35595.85744,"California, San Diego",1542351.418
47518.55519,26.84306266,8.144649456,3.796558754,19073.88382,"California, Los Angeles",1357631.085
86262.41128,14.35030582,4.544999949,4.145721587,18765.79873,"New York, Brooklyn",353723.6646
42875.3819,21.58046896,4.540616762,4.96837037,44504.72407,"California, San Francisco",902078.4403
77247.84145,29.52763591,6.139347574,4.7845837,45750.30033,"Florida, Miami",887949.9179
83411.57078,2.455085159,4.493286884,5.562714382,20245.24364,"New York, Brooklyn",1221545.66
62923.30017,3.804142234,7.095465476,4.865324109,26820.41432,"Texas, Houston",738307.2249
87266.66085,21.8932455,4.718458036,5.991538833,43383.82955,"Texas, Austin",754164.7158
42440.02,9.172925096,6.61186632,3.394023199,40840.29754,"Illinois, Chicago",1355463.36
42987.8551,6.344740512,4.036099735,5.331990969,42556.64426,"Florida, Orlando",1905764.824
105808.0449,2.141494515,5.582981742,4.790539291,30735.92763,"Illinois, Chicago",1422304.476
68815.25131,1.633554648,7.385953618,4.765545781,46461.96193,"California, San Diego",1435821.211
50164.84101,23.46008249,6.420194701,3.303342379,23038.06176,"Texas, Houston",1976565.183
81779.4608,4.898569394,8.89134743,5.14240717,16266.88537,"Florida, Orlando",560912.884
101599.4842,14.56389786,8.37051898,5.601504089,38349.2933,"Texas, Austin",357519.1161
57265.6822,18.57100764,5.795353895,2.874193846,31574.17664,"Texas, Austin",1567373.716
89831.23807,13.42220222,4.227432707,4.501987348,44183.43075,"Florida, Orlando",1045938.636
46827.7972,1.786092918,8.228131501,3.568539316,13246.36996,"California, San Francisco",1028999.703
44134.53769,23.72154358,8.556171552,5.958192477,43747.69614,"Texas, Houston",683015.7398
82508.37053,1.304883512,8.103136967,3.915331263,21731.78613,"New York, Manhattan",1161667.169
83250.80973,23.09480694,4.639749705,2.913280695,36194.22669,"California, San Diego",1051692.984
90994.39212,26.90583032,8.989575672,3.527430501,11605.15156,"Florida, Miami",887265.0133
